Origin,Day Transit,Zip Code
"Origin - Coppell, TX 75019",2,17905
"Origin - Coppell, TX 75019",2,17906
"Origin - Coppell, TX 75019",2,17907
"Origin - Coppell, TX 75019",2,17908
"Origin - Coppell, TX 75019",2,17909
"Origin - Coppell, TX 75019",2,17910
"Origin - Coppell, TX 75019",2,17911
"Origin - Coppell, TX 75019",2,17912
"Origin - Coppell, TX 75019",2,17913
"Origin - Coppell, TX 75019",2,17914
"Origin - Coppell, TX 75019",2,17915
"Origin - Coppell, TX 75019",2,17916
"Origin - Coppell, TX 75019",2,17917
"Origin - Coppell, TX 75019",2,17918
"Origin - Coppell, TX 75019",2,17919
"Origin - Coppell, TX 75019",2,17920
"Origin - Coppell, TX 75019",2,17921
"Origin - Coppell, TX 75019",2,17922
"Origin - Coppell, TX 75019",2,17923
"Origin - Coppell, TX 75019",2,17924
"Origin - Coppell, TX 75019",2,17925
"Origin - Coppell, TX 75019",2,17926
"Origin - Coppell, TX 75019",2,17927
"Origin - Coppell, TX 75019",2,17928
"Origin - Coppell, TX 75019",2,17929
"Origin - Coppell, TX 75019",2,17930
"Origin - Coppell, TX 75019",2,17931
"Origin - Coppell, TX 75019",2,17932
"Origin - Coppell, TX 75019",2,17933
"Origin - Coppell, TX 75019",2,17934
"Origin - Coppell, TX 75019",2,17935
"Origin - Coppell, TX 75019",2,17936
"Origin - Coppell, TX 75019",2,17937
"Origin - Coppell, TX 75019",2,17938
"Origin - Coppell, TX 75019",2,17939
"Origin - Coppell, TX 75019",2,17940
"Origin - Coppell, TX 75019",2,17941
"Origin - Coppell, TX 75019",2,17942
"Origin - Coppell, TX 75019",2,17943
"Origin - Coppell, TX 75019",2,17944
"Origin - Coppell, TX 75019",2,17945
"Origin - Coppell, TX 75019",2,17946
"Origin - Coppell, TX 75019",2,17947
"Origin - Coppell, TX 75019",2,17948
"Origin - Coppell, TX 75019",2,17949
"Origin - Coppell, TX 75019",2,17950
"Origin - Coppell, TX 75019",2,17951
"Origin - Coppell, TX 75019",2,17952
"Origin - Coppell, TX 75019",2,17953
"Origin - Coppell, TX 75019",2,17954
"Origin - Coppell, TX 75019",2,17955
"Origin - Coppell, TX 75019",2,17956
"Origin - Coppell, TX 75019",2,17957
"Origin - Coppell, TX 75019",2,17958
"Origin - Coppell, TX 75019",2,17959
"Origin - Coppell, TX 75019",2,17960
"Origin - Coppell, TX 75019",2,17961
"Origin - Coppell, TX 75019",2,17962
"Origin - Coppell, TX 75019",2,17963
"Origin - Coppell, TX 75019",2,17964
"Origin - Coppell, TX 75019",2,17965
"Origin - Coppell, TX 75019",2,17966
"Origin - Coppell, TX 75019",2,17967
"Origin - Coppell, TX 75019",2,17968
"Origin - Coppell, TX 75019",2,17969
"Origin - Coppell, TX 75019",2,17970
"Origin - Coppell, TX 75019",2,17971
"Origin - Coppell, TX 75019",2,17972
"Origin - Coppell, TX 75019",2,17973
"Origin - Coppell, TX 75019",2,17974
"Origin - Coppell, TX 75019",2,17975
"Origin - Coppell, TX 75019",2,17976
"Origin - Coppell, TX 75019",2,17977
"Origin - Coppell, TX 75019",2,17978
"Origin - Coppell, TX 75019",2,17979
"Origin - Coppell, TX 75019",2,17980
"Origin - Coppell, TX 75019",2,17981
"Origin - Coppell, TX 75019",2,17982
"Origin - Coppell, TX 75019",2,17983
"Origin - Coppell, TX 75019",2,17984
"Origin - Coppell, TX 75019",2,17985
"Origin - Coppell, TX 75019",2,17986
"Origin - Coppell, TX 75019",2,17987
"Origin - Coppell, TX 75019",2,17988
"Origin - Coppell, TX 75019",2,17989
"Origin - Coppell, TX 75019",2,17990
"Origin - Coppell, TX 75019",2,17991
"Origin - Coppell, TX 75019",2,17992
"Origin - Coppell, TX 75019",2,17993
"Origin - Coppell, TX 75019",2,17994
"Origin - Coppell, TX 75019",2,17995
"Origin - Coppell, TX 75019",2,17996
"Origin - Coppell, TX 75019",2,17997
"Origin - Coppell, TX 75019",2,17998
"Origin - Coppell, TX 75019",2,17999
"Origin - Coppell, TX 75019",2,18000
"Origin - Coppell, TX 75019",2,18001
"Origin - Coppell, TX 75019",2,18002
"Origin - Coppell, TX 75019",2,18003
"Origin - Coppell, TX 75019",2,18004
"Origin - Coppell, TX 75019",2,18005
"Origin - Coppell, TX 75019",2,18006
"Origin - Coppell, TX 75019",2,18007
"Origin - Coppell, TX 75019",2,18008
"Origin - Coppell, TX 75019",2,18009
"Origin - Coppell, TX 75019",2,18010
"Origin - Coppell, TX 75019",2,18011
"Origin - Coppell, TX 75019",2,18012
"Origin - Coppell, TX 75019",2,18013
"Origin - Coppell, TX 75019",2,18014
"Origin - Coppell, TX 75019",2,18015
"Origin - Coppell, TX 75019",2,18016
"Origin - Coppell, TX 75019",2,18017
"Origin - Coppell, TX 75019",2,18018
"Origin - Coppell, TX 75019",2,18019
"Origin - Coppell, TX 75019",2,18020
"Origin - Coppell, TX 75019",2,18021
"Origin - Coppell, TX 75019",2,18022
"Origin - Coppell, TX 75019",2,18023
"Origin - Coppell, TX 75019",2,18024
"Origin - Coppell, TX 75019",2,18025
"Origin - Coppell, TX 75019",2,18026
"Origin - Coppell, TX 75019",2,18027
"Origin - Coppell, TX 75019",2,18028
"Origin - Coppell, TX 75019",2,18029
"Origin - Coppell, TX 75019",2,18030
"Origin - Coppell, TX 75019",2,18031
"Origin - Coppell, TX 75019",2,18032
"Origin - Coppell, TX 75019",2,18033
"Origin - Coppell, TX 75019",2,18034
"Origin - Coppell, TX 75019",2,18035
"Origin - Coppell, TX 75019",2,18036
"Origin - Coppell, TX 75019",2,18037
"Origin - Coppell, TX 75019",2,18038
"Origin - Coppell, TX 75019",2,18039
"Origin - Coppell, TX 75019",2,18040
"Origin - Coppell, TX 75019",2,18041
"Origin - Coppell, TX 75019",2,18042
"Origin - Coppell, TX 75019",2,18043
"Origin - Coppell, TX 75019",2,18044
"Origin - Coppell, TX 75019",2,18045
"Origin - Coppell, TX 75019",2,18046
"Origin - Coppell, TX 75019",2,18047
"Origin - Coppell, TX 75019",2,18048
"Origin - Coppell, TX 75019",2,18049
"Origin - Coppell, TX 75019",2,18050
"Origin - Coppell, TX 75019",2,18051
"Origin - Coppell, TX 75019",2,18052
"Origin - Coppell, TX 75019",2,18053
"Origin - Coppell, TX 75019",2,18054
"Origin - Coppell, TX 75019",2,18055
"Origin - Coppell, TX 75019",2,18056
"Origin - Coppell, TX 75019",2,18057
"Origin - Coppell, TX 75019",2,18058
"Origin - Coppell, TX 75019",2,18059
"Origin - Coppell, TX 75019",2,18060
"Origin - Coppell, TX 75019",2,18061
"Origin - Coppell, TX 75019",2,18062
"Origin - Coppell, TX 75019",2,18063
